cpf_cnpj;nome;telefone;observacao
25351821060;José;5562991246698;teste 1
25351821061;Mario;5562993246321;teste 2
12345678900;Ana;5562978456321;cliente antigo
98765432100;Carlos;5511987654321;compra frequente
45678912300;Laura;5521987654321;indicado por Pedro
78945612300;Pedro;5531998765432;amigo do dono
15975385200;Mariana;5541987654321;aniversário em breve
85296374100;Fernanda;5511978456321;evento em agosto
45698712300;Lucas;5521987654321;novo cliente
74563219000;Lara;5531998765432;compra recente
32547896300;Gabriel;5541987654321;indicação de Maria
12378945600;Maria;5511978456321;cliente fiel
78932145600;Gustavo;5521987654321;aniversário em julho
45612378900;Julia;5531998765432;recomendado por Ana
96385274100;Rafael;5541987654321;amigo de Carlos
14785236900;Paula;5511978456321;compra frequente
36985214700;Thiago;5521987654321;promoção em breve
25874136900;Beatriz;5531998765432;cliente VIP
98712365400;Diego;5541987654321;novo cadastro
32165498700;Carolina;5511978456321;indicado por Laura
